version	doi	noresp	month	day	age	q01	q02	q03	q04a	q04b	q04c	q04d	q04e	q04f	q04g	q04h	q04i	q05a	q05b	q05c	q05d	q05e	q05f	q05g	q05h	q05i	q06a	q06b	q06c	q06d	q06e	q06f	q06g	q06h	q07	q08	q08a	q08b	q08c	q08d	q08e	q08f	q08g	q09	q10a	q10b	q11	q12a	q12b	q12d1	q12d2	q12d3	q12d4	q12d5	q12d6	q13a	q13b	q14a	q14b	q15a	q15b	q15c	q15d	q15e	q15f	q16a	q16b	q16c	q16d	q16e	q16f	q17a	q17b	q17c	q17d	q17e	q17f	q18	q21	q22a	q22b	q22c	q22d	f1	f2	f3	f4	f5	d02	d03	d04	d05	d06	d07a	d08	d09	d11	d14	d15	d16	d19	d20	c1	c2	c3	c4	gew	gew_roh	intnr	intsex
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	402	10	23	5	2	3	3	3	3	3	4	2	2	4	2	4	2	3	3	3	2	3	4	3	4	3	3	1	1	3	2	2	2	3	2	4	3	2	4	2	3	2	3	1	2	4	4	2	1						3		3	3	4	6	4	4	5	5	4	7	5	4	6	4	3	5	6	2	5	2	5	2	5	1	2	3	3	4		3	2	2	1	1	2	4	8	2	77	4	1	5	2	1	5	2			1	2.018649847822921	1.90347	13	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	403	11	19	7	3	4	3	3	5	3	4	5	3	2	3	3	1	2	3	2	2	4	4	3	5	2	2	1	2	1	1	1	2	3	5	2	4	5	2	3	1	3	3	5		3	4	2				1			4	2	4	4	3	8	6	1	3	2	3	8	6	1	2	2	3	5	7	1	4	2	5	1	5	1	2	3	3	4		4	2	1	1	2	2	7			77	4	1	5	2	1	6	2			1	1.3468376807812215	1.26999	211	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	404	11	29	6	2	1	3	3	2	3	4	2	2	2	2	3	1	2	3	1	1	2	5	3	4	3	3	1	1	1	1	1	2	2	1	3	2	3	4	2	4	2	3	5		4	4	2				1			4	2	3	3	4	8	6	5	6	4	4	8	6	5	6	5	4	5	8	4	6	4	5	3	1		2	3	2	2		4	1	2	1	1	2	7			11	3	1	1	2	1	2	2			1	0.7321340020820039	0.69036	13	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	405	11	29	7	2	1	1	3	3	2	4	4	2	3	4	2	2	2	3	1	1	4	5	2	4	2	2	1	1	2	1	1	1	1	3	1	5	3	1	4	2	2	4	1	3	2	4	3	1						4	3	3	5	4	5	6	0	0	1	4	8	7	0	0	4	5	7	7	3	4	5	5	2	1		3	2	1	4		3	3	1	1	2	1	7			9	2	1	5	2	5	1	2			1	1.0734380838510102	1.01219	377	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	406	11	13	4	2	2	2	3	4	2	4	3	4	4	4	3	3	4	3	4	3	3	3	2	3	3	4	2	3	4	1	2	3	2	2	3	4	3	2	1	2	2	3	1	5	2	4	5				1			4	2	4	4	5	7	1	4	9	1	2	7	0	4	8	0	4	7	9	3	5	1	5	2	5	1	5	3	2	2		4	1	2	3	1	2	1	1	3	20	3	1	5	2	2	4	2			1	1.4320603014534936	1.35035	399	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	407	11	12	3	2	2	3	3	2	4	2	2	1	3	3	2	1	1	4	2	1	3	1	3	5	1	4	1	1	2	1	2	4	3	1	4	3	3	3	3	1	4	2	1	3	2	4	3				1			4	2	5	5	3	6	10	3	3	4	4	6	10	3	3	3	2	5	6	2	2	2	5	3	5	5			4					2	1	1	2	1	7	2	20	4	1	5	2	1	5	2			2	1.445762096613844	1.36327	37	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	408	11	1	6	1	1	1	3	4	2	3	3	2	4	4	5	1	2	3	2	1	4	5	5	5	2	2	1	2	1	1	1	1	4	5	2	5	4	2	3	1	3	2	1	2	2	4	2	1	1	1				4	2	5	5	3	7	5	1	3	2	4	7	6	1	5	2	3	5	6	1	4	2	5	1	1		2	1	2	4		4	1	1	3	3	2	7			77	5	1	1	2	2	1	2			2	0.49662644393502164	0.46829	9	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	409	11	25	1	3	3	3	3	2	5	2	2	1	2	2	3	1	1	3	3	2	3	4	3	4	2	3	1	2	1	1	1	3	2	3	3	2	2	2	1	1	1	3	5		3	4	3	1	1	1				66		3	3	4	3	5	2	2	2	5	5	5	3	5	2	5	5	5	3	5	4	5	1	5	5			3	4		3	3	2	1	4	2	5			12	1	1	1	1	4	4	2			1	1.4237671096459132	1.34253	211	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	410	11	14	5	3	3	4	3	2	4	2	2	1	2	1	3	1	2	4	2	2	1	4	3	5	1	2	1	1	1	2	1	3	2	1	5	1	1	3	1	4	1	3	1	3	3	4	3				1			4	6	5	3	2	5	9	0	2	0	1	5	8	0	5	0	2	6	5	0	4	0	5	3	1		3	2	3	4		4	3	2	1	3	2	2	1	2	8	1	1	5	2	5	1	1	2	2		0.697847698867288	0.65803	399	2
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	411	11	29	5	1	1	1	3	3	2	4	2	2	5	2	2	3	4	3	5	4	5	4	2	2	3	3	2	3	3	1	2	3	3	3	4	2	3	5	2	4	2	3	5		2	4	77				1			4	77	2	2	3	2	0	6	3	2	3	3	0	6	3	2	3	8	9	4	4	3	5	2	5	5			2	4		77	77	1	3	1	1	1	5	2	20	1	1	5	2	2	3	2			1	0.6206849577011043	0.58527	377	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	412	11	21	3	2	2	3	3	3	3	2	1	3	2	4	3	2	3	3	4	3	4	3	2	2	3	2	1	2	2	1	1	2	2	2	3	3	2	4	2	4	2	2	1	2	2	4	2				1			4	2	5	5	3	9	5	4	5	4	1	10	5	4	5	5	3	5	7	4	5	4	5	2	5	5			4					1	3	1	2	1	1	2	20	4	1	5	2	1	4	1	2	2		0.729397885091779	0.68778	11	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	413	11	28	5	2	2	1	3	2	3	3	2	2	3	4	2	1	4	3	4	3	4	5	2	3	2	3	1	2	2	1	1	3	2	1	2	1	1	3	2	3	2	3	5		2	4	2				1			4	2	4	5	6	8	3	6	5	5	8	9	4	5	5	5	4	2	7	3	5	4	5	2	5	1	2	2	2	4		3	1	2	1	4	2	1	1	2	11	2	1	5	2	2	1	1	2	2		0.6809749774275687	0.64212	61	1
