focal0	Venus0	treatment	plate	focal96	venus96	focal_f	venus_f	r_f	r_v	w_ma	r_anc	w_anc	stma	stanc	s	st	rel	rel_unscaled	line	line2	gen	anc	rep	type	genic	exonic	intronic	intergenic	utr5	utr3	fold0	fold4	fold2	fold3	CDS	nonsynonymous	nonsense	SNP	indel
76	371	0	B	299	63054	2990	630540	0.038253076	0.077480519	-0.039227443	0.056463833	-0.021016686	-0.481554115	-0.257999778	0.018210757	0.223554337	0.776445663	0.981789243	2342L8	2342L8	562.3858322	2342	1	ma	14	8	6	0	1	3	1	1	2	0	4	3	0	10	4
706	719	0	B	17320	21878	173200	218780	0.057318615	0.059562089	-0.002243474	0.056463833	-0.003098256	-0.027540779	-0.038034038	-0.000854782	-0.010493258	1.010493258	1.000854782	2342L9	2342L9	959.3468012	2342	1	ma	46	32	14	1	4	11	10	4	2	1	17	11	2	41	6
806	190	0	A	17924	15727	179240	157270	0.056295804	0.069986409	-0.013690605	0.056295804	-0.013690605	-0.168566809	-0.168566809	0	0	1	1	2344anc	2344_1	0	2344	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1424	729	0	B	23551	18509	235510	185090	0.053211287	0.057676289	-0.004465002	0.053211287	-0.004465002	-0.058162537	-0.058162537	0	0	1	1	2344anc	2344_2	0	2344	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
852	460	0	C	24962	32690	249620	326900	0.059167797	0.068397741	-0.009229944	0.059167797	-0.009229944	-0.108128235	-0.108128235	0	0	1	1	2344anc	2344_3	0	2344	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
795	96	0	D	44367	8849	443670	88490	0.065880148	0.071107257	-0.005227109	0.065697941	-0.005409316	-0.055148694	-0.057071072	-0.000182207	-0.001922378	1.001922378	1.000182207	2344anc	2344_4	0	2344	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
827	105	0	D	55825	9903	558250	99030	0.067862057	0.071346018	-0.003483961	0.065697941	-0.005648077	-0.036757591	-0.059590131	-0.002164116	-0.022832541	1.022832541	1.002164116	2344anc	2344_5	0	2344	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
867	207	0	D	37957	12017	379570	120170	0.063351618	0.066291082	-0.002939464	0.065697941	-0.000593141	-0.031012863	-0.006257946	0.002346323	0.024754917	0.975245083	0.997653677	2344anc	2344_6	0	2344	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
574	187	0	A	13242	28282	132420	282820	0.056678173	0.07626518	-0.019587008	0.056295804	-0.019969376	-0.241166804	-0.245874747	-0.000382368	-0.004707943	1.004707943	1.000382368	2344L1	2344L1	912.356113	2344	1	ma	367	233	134	29	20	54	97	27	34	1	159	98	11	345	51
1004	424	0	B	42394	37942	423940	379420	0.062974999	0.0707986	-0.007823601	0.053211287	-0.017587313	-0.101912717	-0.22909794	-0.009763712	-0.127185224	1.127185224	1.009763712	2344L10	2344L10	917.129696	2344	1	ma	54	30	24	5	2	5	14	5	4	0	23	14	1	51	8
96	124	0	D	1379	27318	13790	273180	0.051743237	0.080183382	-0.028440144	0.065697941	-0.014485441	-0.300058199	-0.152828873	0.013954704	0.147229325	0.852770675	0.986045296	2344L12	2344L12	950.0552184	2344	1	ma	67	40	27	7	1	7	19	10	3	0	32	19	0	65	9
753	559	0	B	17635	37526	176350	375260	0.056835007	0.067804426	-0.010969419	0.053211287	-0.014593139	-0.142891146	-0.190094881	-0.00362372	-0.047203735	1.047203735	1.00362372	2344L13	2344L13	961.4186064	2344	1	ma	45	36	9	4	3	12	11	6	4	0	21	13	0	39	10
984	133	0	D	24613	25207	246130	252070	0.057520721	0.07861576	-0.021095039	0.065697941	-0.012917819	-0.222563547	-0.136289659	0.00817722	0.086273889	0.913726111	0.99182278	2344L14	2344L14	931.447801	2344	1	ma	42	30	12	4	4	10	13	2	1	0	16	9	0	35	11
416	177	0	A	2203	44882	22030	448820	0.0413487	0.081648203	-0.040299503	0.056295804	-0.025352398	-0.496191272	-0.312153696	0.014947105	0.184037577	0.815962423	0.985052895	2344L15	2344L15	946.6643063	2344	1	ma	49	31	18	4	1	13	9	6	1	1	17	7	3	40	13
486	129	0	D	22207	14422	222070	144220	0.063797284	0.073117529	-0.009320245	0.065697941	-0.007419588	-0.09833339	-0.078280482	0.001900657	0.020052908	0.979947092	0.998099343	2344L2	2344L2	923.1078072	2344	1	ma	71	47	24	9	3	15	15	8	6	0	29	15	2	68	12
162	579	0	C	2488	81926	24880	819260	0.052439825	0.075571399	-0.023131574	0.059167797	-0.016403602	-0.270984995	-0.192167209	0.006727972	0.078817786	0.921182214	0.993272028	2344L3	2344L3	1000.469526	2344	1	ma	58	36	22	5	2	12	13	5	4	0	22	12	0	52	11
321	137	0	A	788	51149	7880	511490	0.033340022	0.08567815	-0.052338128	0.056295804	-0.029382346	-0.644417937	-0.361772785	0.022955783	0.282645152	0.717354848	0.977044217	2344L4	2344L4	808.9505794	2344	1	ma	23	18	5	1	1	3	7	3	3	1	14	9	0	22	2
1011	971	0	C	19299	48202	192990	482020	0.054705192	0.064660567	-0.009955375	0.059167797	-0.00549277	-0.116626618	-0.064347469	0.004462605	0.052279149	0.947720851	0.995537395	2344L6	2344L6	970.6307256	2344	1	ma	31	20	11	7	0	7	5	6	2	0	13	7	0	27	11
887	606	0	B	21039	17283	210390	172830	0.05696743	0.058887331	-0.001919901	0.053211287	-0.005676044	-0.025009242	-0.073937953	-0.003756143	-0.04892871	1.04892871	1.003756143	2344L7	2344L7	990.9451516	2344	1	ma	35	25	10	10	2	3	15	4	1	0	20	13	1	37	8
1435	755	0	C	11505	32274	115050	322740	0.045668771	0.063102964	-0.017434194	0.059167797	-0.003935167	-0.204240531	-0.046100248	0.013499027	0.158140283	0.841859717	0.986500973	2344L8	2344L8	1009.966123	2344	1	ma	65	37	28	10	1	8	19	5	3	1	28	18	2	66	9
91	317	0	B	299	61610	2990	616100	0.036376762	0.078877737	-0.042500975	0.053211287	-0.02566645	-0.553631246	-0.33433936	0.016834525	0.219291887	0.780708113	0.983165475	2344L9	2344L9	901.0619061	2344	1	ma	24	16	8	3	1	5	6	2	1	1	10	6	1	19	8
842	188	0	A	29020	25482	290200	254820	0.06085985	0.075123653	-0.014263803	0.06085985	-0.014263803	-0.162453818	-0.162453818	0	0	1	1	2931anc	2931_1	0	2931	1	anc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
