version	doi	court_source	court_target	year_target	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"1999"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2000"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2003"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2005"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2006"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2008"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2009"	14.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2011"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2012"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2013"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2014"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ITA"	"ECHR"	"2015"	35.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2000"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2003"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2004"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2005"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2006"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2007"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2008"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2009"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2010"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2011"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2012"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2013"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2014"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LTU"	"ECHR"	"2015"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2004"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2006"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2007"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2008"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2009"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2010"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2011"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2012"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2013"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2014"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2015"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"LVA"	"ECHR"	"2016"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"1991"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"MLT"	"ECHR"	"1999"	4.0
