month,theta_gradient_med,theta_gradient_iqr,rh_850_med,height_diff_med,soundings
1987-11,12.78832247410324,1.0576857132999464,94.0,2287.0,2
1987-12,14.931075988999737,0.0,93.0,2213.0,1
1988-01,16.351599104894945,0.0,47.0,2110.0,1
1988-05,7.3599471977451,1.1000141668764059,76.5,2313.0,2
1988-06,6.7549131246575485,0.0,73.0,2314.0,1
1988-07,8.831128411994086,0.0,67.0,2348.0,1
1988-08,15.323670076216672,0.0,85.0,2311.0,1
1988-09,14.340589422197837,3.6858931002255133,85.0,2323.5,2
1988-11,10.709859357559736,4.184707180377785,52.0,2202.0,2
1988-12,21.003505431770748,0.0,19.0,2238.0,1
1989-01,20.05719704187021,2.358891441192668,63.5,2252.0,2
1989-02,22.907828239569454,3.6679692107195194,94.0,2240.5,2
1989-06,8.482050076516146,1.8278007553358577,87.0,2346.0,3
1989-07,10.184782464304334,0.2725562830151773,71.5,2363.5,2
1989-11,22.719666050651142,0.0,89.0,2156.0,1
1989-12,17.749305644670983,5.979135033469646,50.0,2137.0,3
1990-02,14.64653424878017,5.091237374330973,63.0,2295.0,2
1990-04,7.572303143542683,0.0,19.0,2295.0,1
1990-05,9.469431801117452,1.5557362948684101,68.0,2315.0,2
1990-06,12.93806907892548,5.41138351271627,63.0,2329.0,3
1990-07,11.479622578568325,1.4846328922888858,78.5,2359.0,2
1990-08,11.802644908604293,0.0,41.0,2349.0,1
1990-09,16.966214747844333,0.0,42.0,2321.0,1
1990-10,15.067714338607004,0.0,70.0,2332.0,1
1990-11,19.411727162424995,0.0,21.0,2226.0,1
1990-12,20.61505959601689,1.2909469581449855,66.0,2259.5,2
1991-01,15.437969971747634,0.0,92.0,2262.0,1
1991-02,24.208468949031158,0.0,42.0,2211.0,1
1991-03,12.935584394677392,0.0,93.0,2255.0,1
1991-04,10.573358600578956,5.064824478243679,53.0,2258.0,3
1991-05,5.854862420811969,0.0,72.0,2369.0,1
1991-07,12.201662074834246,0.0,95.0,2370.0,1
1991-08,10.927090582012255,2.089963904884229,79.0,2344.0,2
1991-09,13.222473061394908,0.0,57.0,2284.0,1
1991-11,10.778125175993694,2.2172042493757544,45.5,2266.5,2
1991-12,13.163459553777386,2.168754073383269,31.0,2265.0,3
1992-01,14.798970575074634,7.072877614482934,55.5,2208.0,2
1992-02,13.941777473472428,7.06338213842389,59.0,2220.0,51
1992-03,11.208342601686923,6.602328191055378,71.5,2223.0,60
1992-04,7.502676641742596,7.243409472652047,61.0,2256.0,59
1992-05,10.357735474886624,4.9564764025393515,71.0,2295.0,59
1992-06,9.881010106628992,3.6438614711896804,77.5,2320.5,58
1992-07,9.289599054720668,3.7399275817996056,75.0,2350.0,59
1992-08,11.275338432390072,3.974057420570773,73.0,2334.0,63
1992-09,13.63198204437586,7.259119544435691,74.0,2333.0,58
1992-10,13.419084455361883,6.414297408665192,58.0,2281.5,60
1992-11,15.238088683957358,7.223403171951787,76.5,2257.5,56
1992-12,16.593134103337093,8.532315523466053,78.0,2209.0,51
1993-01,18.1841583317007,6.240818771970595,70.3,2221.0,63
1993-02,15.849077805497245,9.877109665476752,58.55,2189.5,54
1993-03,13.325631021468553,6.504179669251187,74.5,2220.0,63
1993-04,10.990813308321151,5.740350511692611,63.2,2263.0,58
1993-05,8.780995939752586,3.98073752463236,62.45,2303.0,60
1993-06,11.08942407267864,4.33748847224733,72.95,2336.5,60
1993-07,9.174981394039037,3.4165771544926713,72.35,2366.0,62
1993-08,7.920006129055224,2.632571638811342,77.0,2353.0,66
1993-09,10.57003941481932,4.777903818939848,76.4,2335.0,60
1993-10,13.8016947176759,4.837363083443961,51.05,2278.5,60
1993-11,14.207454222928959,5.36600651059689,55.2,2248.0,58
1993-12,15.472023732641418,7.1156310333443145,75.75,2205.5,62
1994-01,17.36067048014101,5.692101021148446,85.0,2197.5,64
1994-02,14.321546257498312,8.539525893049813,57.400000000000006,2204.0,53
1994-03,14.27392442751983,8.400698458384767,63.6,2217.0,63
1994-04,9.703230601607686,8.081648899404485,45.9,2273.0,59
1994-05,10.744646605527294,5.135248415635942,63.650000000000006,2267.0,57
1994-06,9.40362306632096,3.858116415788629,73.2,2345.0,49
1994-07,8.923589337812132,3.1983861890766434,73.2,2357.0,63
1994-08,10.800598080283066,5.086439287494954,70.4,2344.0,61
1994-09,10.989489964220695,5.46157636716913,69.5,2312.0,61
1994-10,13.66782982338782,6.121107164384014,42.1,2282.0,62
1994-11,15.21328526089269,4.8356408803493025,44.8,2282.0,60
1994-12,15.737632459128918,7.356937230214797,37.75,2247.0,58
1995-01,15.36811959188202,7.588254962772339,,2189.0,59
1995-02,14.144691237583487,7.743318095333237,58.1,2188.5,56
1995-03,12.823508581064914,7.374895131205193,53.2,2235.0,60
1995-04,11.046171133995756,7.1493283781929335,54.95,2262.5,60
1995-05,9.879686762528422,4.875789527687971,66.3,2296.0,63
1995-06,10.346953931995472,2.5718570531755915,74.25,2337.0,66
1995-07,9.466716887691689,2.1492341894610263,,2359.0,73
1995-08,10.776125493243626,3.505666336500312,75.4,2362.0,78
1995-09,11.265617420543208,5.876594641715727,71.0,2312.5,58
1995-10,13.640184922035019,5.80933135854653,51.65,2307.0,63
1995-11,14.931737661050022,6.76278209506188,70.35,2218.0,57
1995-12,16.432947651796724,7.17277444567253,71.7,2202.0,63
1996-01,16.88626096405926,5.942797393840635,75.5,2194.0,61
1996-02,13.136875183468987,8.781459750486107,76.9,2180.0,59
1996-03,13.80447745181499,7.860947291725523,72.5,2220.0,63
1996-04,8.364522914577321,6.296210609129645,58.05,2271.0,60
1996-05,10.911907380713501,7.61858056381071,66.5,2299.0,64
1996-06,9.760505420464028,3.630866110576079,73.5,2338.0,59
1996-07,9.010231261115848,4.051571981108964,72.3,2341.0,67
1996-08,9.206265491668205,3.0052954712659385,73.65,2332.5,60
1996-09,11.00609050962612,2.698049335326843,76.0,2322.5,56
1996-10,13.62841087106841,6.160657523231407,68.0,2297.0,55
1996-11,14.888747535423278,10.53555055957274,62.5,2212.5,58
1996-12,13.722593999981115,7.225256781574473,76.0,2233.5,60
1997-01,17.205310523039543,7.900629057101014,64.0,2192.0,61
1997-02,15.7978848022114,5.418654264511304,61.0,2214.0,55
1997-03,13.74706658702064,8.552623288116934,68.9,2228.0,57
1997-04,9.887626827131498,7.819806136311456,55.85,2231.5,57
1997-05,9.251308656414722,5.503573984720461,60.6,2270.0,62
1997-06,8.613667141597375,4.253357191206476,73.0,2333.0,57
1997-07,9.957201323066613,4.597278196220486,69.0,2349.0,61
1997-08,8.337471662305859,3.500572389595362,73.0,2326.0,59
1997-09,11.306953366044382,6.317671660458473,72.45,2319.0,58
1997-10,12.700425229668042,6.214828050743478,66.15,2273.5,58
1997-11,13.028339338357739,7.348802375524656,81.5,2231.5,56
1997-12,14.882266860858692,5.744252521025203,73.2,2218.0,61
1998-01,14.964938751860984,6.984281420729133,72.5,2220.0,63
1998-02,16.97475185757571,5.728508437757057,70.9,2226.0,57
1998-03,10.541071169366035,6.036747081771637,70.05000000000001,2229.0,52
1998-04,9.118436270201983,6.217805574969589,59.0,2263.0,61
1998-05,9.345024903364191,4.965769183317462,71.7,2302.0,62
1998-06,9.529285082950025,3.6139347291454555,74.0,2338.0,61
1998-07,9.496745664189291,4.1746553325059494,73.2,2339.0,61
1998-08,10.092652374511431,3.7308002190340517,72.0,2352.0,67
1998-09,9.130074275230527,4.805086477739337,61.5,2340.0,57
1998-10,14.155005898511519,4.532530194724259,56.0,2286.0,54
1998-11,14.790662397178068,4.924433237816373,59.2,2255.5,54
1998-12,14.815728633298818,4.854031651818502,58.45,2237.0,57
1999-01,15.892330744180128,7.932506803811464,65.8,2221.0,57
1999-02,15.1310122288846,4.691792161158276,49.0,2229.0,50
1999-03,12.834290123956151,8.363035720644561,58.05,2201.5,58
1999-04,10.302776508206222,7.833000926422187,57.45,2260.0,52
1999-05,10.689882428933998,7.63815863344233,,2299.5,60
1999-06,10.618848542960393,5.234919711037833,72.5,2330.0,55
1999-07,8.045668145684203,4.558919774945537,66.3,2360.0,49
1999-08,8.915123647096806,4.917290891201603,60.6,2343.0,60
1999-09,12.136989915137576,3.405464775576263,66.0,2331.0,65
1999-10,15.044302282611852,8.192033714728524,56.2,2283.5,60
1999-11,12.067084583177348,5.643720124076012,58.3,2278.5,60
1999-12,14.65752719790919,8.000563165558901,63.5,2229.0,59
2000-01,15.915081128125053,7.318608181014326,55.9,2187.0,63
2000-02,13.69693411477914,8.071266215507478,58.5,2203.0,57
2000-03,11.231822680651021,8.148712753076637,48.05,2240.0,59
2000-04,10.627849138607814,6.345812815849058,60.5,2254.5,60
2000-05,9.473995280244424,5.207274809685089,57.9,2310.0,59
2000-06,10.089412037229124,4.1794184433857,67.3,2348.5,52
2000-07,9.52081939223467,2.801092374538939,72.55,2332.0,57
2000-08,9.853628018332358,3.715853853754183,71.5,2336.0,58
2000-09,12.529720048292575,6.538840150100555,75.0,2330.0,57
2000-10,11.662249563030741,4.465729154108288,59.0,2293.0,55
2000-11,14.912159591418401,6.9046844489966475,56.7,2233.5,56
2000-12,18.077412712653143,8.163591095387403,53.7,2170.0,53
2001-01,15.981619355684927,7.558955881293912,57.8,2203.0,55
2001-02,15.575529014406754,5.286574956876876,54.599999999999994,2208.5,56
2001-03,13.797860731312426,7.412193021435911,68.55,2202.0,64
2001-04,9.470822965931177,5.3577696214532295,62.7,2264.0,60
2001-05,9.114797073925558,7.174890868351397,63.8,2295.5,58
2001-06,9.420554447751613,4.682499380380165,75.5,2339.5,56
2001-07,10.263620368943009,5.436641537576392,70.0,2329.5,62
2001-08,8.89819226566621,3.245312335520339,75.0,2350.5,56
2001-09,11.08294339811411,5.153074910098383,77.1,2319.0,58
2001-10,11.96053375421684,6.218730060075984,59.9,2288.0,59
2001-11,13.49428316372422,4.426115411701744,53.0,2284.0,57
2001-12,13.755532277735938,6.381923407917029,66.1,2251.0,60
2002-01,14.455673964842617,5.919686801795947,45.5,2221.5,66
2002-02,14.4276302044957,9.04779817199281,40.4,2218.0,55
2002-03,13.265115865329932,6.97955232133377,59.85,2241.0,62
2002-04,11.006820204645408,7.428564765269641,59.9,2276.5,62
2002-05,10.136304172188375,3.993966326227479,63.1,2318.5,47
2002-06,8.151226466569284,5.658734512324784,67.7,2334.0,44
2002-07,9.027162642546386,3.5653884140605783,73.9,2358.0,63
2002-08,8.12351354224748,5.259854540630528,67.94999999999999,2360.5,60
2002-09,11.830240033236066,4.776118232286166,65.2,2344.0,63
2002-10,14.460695249368598,3.9090466060184212,87.0,2282.0,61
2002-11,13.548716504292429,6.558715044272901,72.4,2238.0,60
2002-12,17.594732295943146,8.026587898270549,57.7,2210.5,64
2003-01,15.739023826198405,5.274241268313631,65.6,2151.5,60
2003-02,16.716548290759107,7.958794349579236,81.4,2183.5,60
2003-03,12.706312255151317,6.392539532795695,70.0,2254.0,63
2003-04,13.196660644588349,9.467579557419242,62.1,2270.0,59
2003-05,9.894107501696055,5.978645172852424,74.0,2289.0,63
2003-06,10.396755568211859,4.380775422414644,76.0,2329.0,54
2003-07,8.643559872157084,3.6114194474725565,72.1,2346.0,62
2003-08,9.137216621845312,2.3615381293936366,77.0,2352.0,65
2003-09,12.814974867380641,4.918546212333084,75.1,2330.5,68
2003-10,11.524151823384955,4.995165659839529,72.2,2264.0,61
2003-11,14.79555691458603,6.693304994170305,65.0,2279.5,54
2003-12,16.813572897959943,6.660201298402882,54.75,2216.0,60
2004-01,17.99407914960068,6.605242331722479,74.6,2160.0,65
2004-02,16.27560267854443,7.4208921531326695,30.85,2201.0,54
2004-03,10.776660398175721,6.703191424029669,62.3,2233.5,62
2004-04,9.675322887198831,5.886845919084749,63.2,2256.0,61
2004-05,7.707040517072301,3.4557966773148507,73.7,2334.0,68
2004-06,9.948073960301087,3.3729253568155286,74.8,2328.0,61
2004-07,8.66247626973842,4.344630818862072,77.8,2344.0,63
2004-08,9.786233328635007,3.4456768064739975,67.0,2343.5,68
2004-09,12.3929456527473,3.070408320271781,86.2,2334.0,67
2004-10,14.30904251151253,5.429995444999292,70.2,2293.0,62
2004-11,14.440591553624756,6.472335934025168,63.0,2261.0,60
2004-12,15.09873562318009,5.588926575408152,64.2,2221.0,62
2005-01,18.10115560467341,8.253974249421049,73.0,2208.5,66
2005-02,16.07698978276005,5.198346876416508,54.55,2202.0,58
2005-03,12.583627762748506,7.427640280163317,70.35,2189.5,64
2005-04,10.572355266995231,6.710367782128941,50.0,2271.5,62
2005-05,9.117774598151641,6.863115062513998,64.35,2273.0,59
2005-06,9.92003019995417,3.7800082061691,74.3,2349.0,59
2005-07,9.734446676267908,2.1770445088264125,74.95,2359.0,64
2005-08,9.626640526175947,4.426047388732869,75.05,2354.5,64
